config	inst	time	count	best	spr	hv	gd	invgd	eps	gspr	
nsga5k2x	WAMS	142629	74	0.0214	0.6874	0.5331	0.0050	0.0036	764.5453	0.6840	
nsga5k2x	WAMS	142248	84	0.0357	0.6244	0.5341	0.0050	0.0039	758.7009	0.6658	
nsga5k2x	WAMS	141989	71	0.0571	0.6545	0.5485	0.0048	0.0034	60.1487	0.6757	
nsga5k2x	WAMS	142447	85	0.0143	0.6238	0.5334	0.0051	0.0036	550.5985	0.6351	
nsga5k2x	WAMS	161186	93	0.0071	0.6783	0.5362	0.0046	0.0034	845.8328	0.7610	
nsga5k2x	WAMS	170871	75	0.0500	0.6327	0.5431	0.0049	0.0036	373.8864	0.6474	
nsga5k2x	WMET	62920	69	0.0320	0.6623	0.4868	0.0060	0.0041	5.8000	0.6895	
nsga5k2x	WMET	62853	73	0.0000	0.6847	0.4680	0.0067	0.0057	721.2869	0.7265	
nsga5k2x	WMET	62994	71	0.0320	0.6633	0.4792	0.0066	0.0042	480.9541	0.6769	
nsga5k2x	WMET	62555	67	0.0240	0.6241	0.4626	0.0081	0.0050	1170.6712	0.6130	
